date,gpu architecture,percentage
2014-01-01,TeraScale,0.0059
2014-01-01,TeraScale 2,0.06470000000000001
2014-01-01,TeraScale 3,0.0072
2014-01-01,GCN 1.0,0.0578
2014-01-01,Generation 6.0,0.06870000000000001
2014-01-01,Generation 7.0,0.0405
2014-01-01,Generation 5.75,0.0133
2014-01-01,Unknown,0.44930000000000003
2014-01-01,Tesla 2.0,0.021900000000000003
2014-01-01,Tesla,0.05109999999999999
2014-01-01,Fermi,0.0279
2014-01-01,Kepler,0.1246
2014-01-01,Fermi 2.0,0.0673
2014-02-01,TeraScale,0.0053
2014-02-01,TeraScale 2,0.0639
2014-02-01,TeraScale 3,0.0073
2014-02-01,GCN 1.0,0.057999999999999996
2014-02-01,Generation 6.0,0.0688
2014-02-01,Generation 7.0,0.0408
2014-02-01,Generation 5.75,0.0125
2014-02-01,Unknown,0.4531
2014-02-01,Tesla 2.0,0.0156
2014-02-01,Tesla,0.047799999999999995
2014-02-01,Fermi,0.0279
2014-02-01,Kepler,0.1323
2014-02-01,Fermi 2.0,0.0667
2014-03-01,TeraScale,0.0055
2014-03-01,TeraScale 2,0.0622
2014-03-01,TeraScale 3,0.007
2014-03-01,GCN 1.0,0.056900000000000006
2014-03-01,Generation 6.0,0.07050000000000001
2014-03-01,Generation 7.0,0.0422
2014-03-01,Generation 5.75,0.0123
2014-03-01,Unknown,0.45640000000000003
2014-03-01,Tesla 2.0,0.0163
2014-03-01,Tesla,0.046099999999999995
2014-03-01,Fermi,0.027000000000000003
2014-03-01,Kepler,0.134
2014-03-01,Fermi 2.0,0.0637
2014-04-01,TeraScale 2,0.060700000000000004
2014-04-01,TeraScale 3,0.0063
2014-04-01,GCN 1.0,0.0622
2014-04-01,Generation 6.0,0.07050000000000001
2014-04-01,Generation 7.0,0.0425
2014-04-01,Generation 7.5,0.0115
2014-04-01,Generation 5.75,0.012
2014-04-01,Unknown,0.4408
2014-04-01,Tesla 2.0,0.0162
2014-04-01,Tesla,0.0474
2014-04-01,Fermi,0.0276
2014-04-01,Kepler,0.1419
2014-04-01,Fermi 2.0,0.06010000000000001
2014-05-01,TeraScale 2,0.0486
2014-05-01,TeraScale 3,0.0065
2014-05-01,GCN 1.0,0.0656
2014-05-01,Generation 6.0,0.0694
2014-05-01,Generation 7.0,0.0421
2014-05-01,Generation 7.5,0.0125
2014-05-01,Generation 5.75,0.0119
2014-05-01,Unknown,0.45189999999999997
2014-05-01,Tesla 2.0,0.0157
2014-05-01,Tesla,0.039599999999999996
2014-05-01,Fermi,0.0262
2014-05-01,Kepler,0.15030000000000002
2014-05-01,Fermi 2.0,0.0601
2014-06-01,TeraScale 2,0.05260000000000001
