date,gpu architecture,percentage
2016-04-01,TeraScale 2,0.0033
2016-04-01,Unknown,0.0917
2016-04-01,TeraScale 3,0.0074
2016-04-01,GCN 1.0,0.0303
2016-04-01,GCN 2.0,0.0038
2016-04-01,GCN 3.0,0.002
2016-04-01,Generation 7.5,0.016399999999999998
2016-04-01,Generation 8.0,0.0083
2016-04-01,Generation 9.0,0.0031
2016-04-01,Fermi 2.0,0.011
2016-04-01,Tesla 2.0,0.0
2016-04-01,Kepler 2.0,0.0032999999999999995
2016-04-01,Maxwell,0.0205
2016-04-01,Fermi,0.0054
2016-04-01,Kepler,0.0558
2016-04-01,Maxwell 2.0,0.07410000000000001
2016-05-01,Unknown,0.09570000000000004
2016-05-01,TeraScale 2,0.0034
2016-05-01,TeraScale 3,0.0078
2016-05-01,GCN 1.0,0.0302
2016-05-01,GCN 2.0,0.004
2016-05-01,GCN 3.0,0.0018
2016-05-01,Generation 7.5,0.017199999999999997
2016-05-01,Generation 8.0,0.009099999999999999
2016-05-01,Generation 9.0,0.0036999999999999997
2016-05-01,Fermi 2.0,0.011099999999999997
2016-05-01,Tesla 2.0,0.0
2016-05-01,Kepler 2.0,0.0036
2016-05-01,Maxwell,0.0216
2016-05-01,Fermi,0.0055
2016-05-01,Kepler,0.0563
2016-05-01,Pascal,0.0
2016-05-01,Maxwell 2.0,0.0794
2016-06-01,Unknown,0.0994
2016-06-01,TeraScale 2,0.0035
2016-06-01,TeraScale 3,0.008
2016-06-01,GCN 1.0,0.0318
2016-06-01,GCN 2.0,0.006
2016-06-01,GCN 3.0,0.0023000000000000004
2016-06-01,GCN 4.0,0.0
2016-06-01,Generation 7.5,0.012999999999999998
2016-06-01,Generation 8.0,0.007999999999999998
2016-06-01,Generation 9.0,0.004699999999999999
2016-06-01,Fermi 2.0,0.011899999999999997
2016-06-01,Tesla 2.0,0.0
2016-06-01,Fermi,0.006200000000000001
2016-06-01,Kepler 2.0,0.0043
2016-06-01,Maxwell,0.028399999999999998
2016-06-01,Kepler,0.058300000000000005
2016-06-01,Pascal,0.0013
2016-06-01,Maxwell 2.0,0.0848
2016-07-01,Unknown,0.09330000000000002
2016-07-01,TeraScale 2,0.0034
2016-07-01,TeraScale 3,0.0083
2016-07-01,GCN 1.0,0.031199999999999995
2016-07-01,GCN 2.0,0.0078000000000000005
2016-07-01,GCN 3.0,0.004699999999999999
2016-07-01,GCN 4.0,0.0005
2016-07-01,Generation 7.5,0.007299999999999999
2016-07-01,Generation 8.0,0.007
2016-07-01,Generation 9.0,0.0056
2016-07-01,Fermi 2.0,0.011899999999999997
2016-07-01,Tesla 2.0,0.0
2016-07-01,Fermi,0.0065
2016-07-01,Kepler 2.0,0.0048000000000000004
2016-07-01,Maxwell,0.0358
2016-07-01,Kepler,0.0577
2016-07-01,Pascal,0.0056
2016-07-01,Maxwell 2.0,0.08790000000000002
2016-08-01,TeraScale 2,0.0038
2016-08-01,Unknown,0.09650000000000002
2016-08-01,TeraScale 3,0.007899999999999999
2016-08-01,GCN 1.0,0.0323
2016-08-01,GCN 2.0,0.008
2016-08-01,GCN 3.0,0.0054
2016-08-01,GCN 4.0,0.0012000000000000001
2016-08-01,Generation 7.5,0.0069
2016-08-01,Generation 8.0,0.0074
2016-08-01,Generation 9.0,0.0069
2016-08-01,Fermi 2.0,0.012
2016-08-01,Tesla 2.0,0.0
2016-08-01,Fermi,0.0066
2016-08-01,Kepler 2.0,0.0052
2016-08-01,Maxwell,0.040600000000000004
2016-08-01,Kepler,0.059500000000000004
2016-08-01,Pascal,0.0121
2016-08-01,Maxwell 2.0,0.09490000000000001
2016-09-01,Unknown,0.09460000000000003
2016-09-01,TeraScale 2,0.0034
2016-09-01,TeraScale 3,0.0075000000000000015
2016-09-01,GCN 1.0,0.031299999999999994
2016-09-01,GCN 2.0,0.0077
2016-09-01,GCN 3.0,0.0052
2016-09-01,GCN 4.0,0.0025
2016-09-01,Generation 7.5,0.0066
2016-09-01,Generation 8.0,0.0074
2016-09-01,Generation 9.0,0.0076
2016-09-01,Fermi 2.0,0.011099999999999999
2016-09-01,Tesla 2.0,0.0
2016-09-01,Fermi,0.0061
2016-09-01,Kepler 2.0,0.0058000000000000005
2016-09-01,Maxwell,0.0437
2016-09-01,Kepler,0.05680000000000001
2016-09-01,Pascal,0.019
2016-09-01,Maxwell 2.0,0.094
2016-10-01,Unknown,0.09440000000000001
2016-10-01,TeraScale 2,0.0034
2016-10-01,TeraScale 3,0.007400000000000001
2016-10-01,GCN 1.0,0.030699999999999998
2016-10-01,GCN 2.0,0.007500000000000001
2016-10-01,GCN 3.0,0.0055
2016-10-01,GCN 4.0,0.0034999999999999996
2016-10-01,Generation 7.5,0.0063
2016-10-01,Generation 8.0,0.0077
2016-10-01,Generation 9.0,0.008199999999999999
2016-10-01,Fermi 2.0,0.010799999999999999
2016-10-01,Tesla 2.0,0.0
2016-10-01,Fermi,0.006
2016-10-01,Kepler 2.0,0.0059
2016-10-01,Maxwell,0.0454
2016-10-01,Kepler,0.05510000000000001
2016-10-01,Pascal,0.0251
2016-10-01,Maxwell 2.0,0.09490000000000001
2016-11-01,TeraScale 2,0.0030999999999999995
2016-11-01,Unknown,0.09310000000000002
2016-11-01,TeraScale 3,0.007200000000000001
2016-11-01,GCN 1.0,0.030199999999999998
2016-11-01,GCN 2.0,0.0072
2016-11-01,GCN 3.0,0.0052
2016-11-01,GCN 4.0,0.004699999999999999
2016-11-01,Generation 7.5,0.0062
2016-11-01,Generation 8.0,0.007699999999999999
2016-11-01,Generation 9.0,0.0088
2016-11-01,Kepler,0.05390000000000001
2016-11-01,Fermi 2.0,0.0104
2016-11-01,Tesla 2.0,0.0
2016-11-01,Fermi,0.0059
2016-11-01,Kepler 2.0,0.0061
2016-11-01,Maxwell,0.048400000000000006
2016-11-01,Pascal,0.0327
2016-11-01,Maxwell 2.0,0.09380000000000001
2016-12-01,Unknown,0.09300000000000001
2016-12-01,TeraScale 2,0.0031000000000000003
2016-12-01,TeraScale 3,0.0065
2016-12-01,GCN 1.0,0.029299999999999996
2016-12-01,GCN 2.0,0.007
