gpu architecture,percentage
Unknown,0.16709999999999997
RDNA 3.0,0.0288999999999999
GCN 4.0,0.017899999999999902
RDNA 1.0,0.007299999999999999
RDNA 2.0,0.031
RDNA 4.0,0.0016
GCN 5.0,0.0055
Xe-LPG,0.0032
Generation 7.5,0.0018
Generation 9.0,0.0022
Generation 9.5,0.009799999999999899
Generation 12.1/Generation 12.2,0.0192999999999999
Pascal,0.0528
Turing 16,0.0638999999999999
Maxwell 2.0,0.0041
Ampere,0.20179999999999962
Turing,0.04730000000000001
Ada Lovelace,0.20620000000000002
Blackwell,0.12840000000000001
